RowIndex,Name,GameSegment.PlayNumber,Football.Down,Football.Distance,Football.SeriesNumber,Football.SeriesSeq,Football.FieldPosition,Play.Defense.OPers,Play.Defense.Formation_D,Play.Defense.BackSet_D,Play.Defense.Run_Play,Play.Defense.Route_D,Play.Defense.PlayType_D,Football.dcall,Play.Shared.RunPass,Football.Gain,Play.Quarter,Play.Defense.Hash_D,Play.Shared.BCREC,Football.PassResult,Play.Defense.Target,Play.Defense.TargetNum,Play.Defense.I_Form,Football.motion_d,Play.Defense.Variation,Football.shift_D,Play.Defense.Block,Football.routedesc_D,Football.check_D,Play.Shared.GL/SY,Play.Shared.2/4,Play.Defense.Personnel_D,Play.Defense.Front_D,Football.stuntdef_D,Play.Defense.Blitz_D,Play.Defense.Cover_D,Play.Defense.Coverage_Family,Play.Defense.ID_Call,Play.Shared.NP,Football.Penalty.Jersey,Football.Penalty.Type,Football.SeriesBeg,Football.SeriesEnd,Play.Shared.Opponent,Play.Comments1
1,"1602 IL DEF VS UNC 09-10-16 SS IC_Clean, Play 001",1,1,10,1,1,-25,TY,TREY YLW,GUN NEAR,,PATRIOT PASS,QCK,NKL OVER 3,P,-4,1,,,S,,,,,,,OPTION SPLIT,,,,,NKL,OVER,,,3 CLOUD,Z3,,,,,,,UNC,
2,"1602 IL DEF VS UNC 09-10-16 SS IC_Clean, Play 002",2,2,14,1,2,-21,TY,TREY,GUN FAR,OPTION FLOOD,,FLOOD,NKL OVER PIRATE 2,R,3,1,,H,,,,,,,,,1,,,,NKL,OVER,PIRATE,,2,Z2,,,,,,,UNC,
3,"1602 IL DEF VS UNC 09-10-16 SS IC_Clean, Play 003",3,3,11,1,3,-24,TY,TRIO YLW,GUN SPLIT,,BUC FALCON,DBP,NKL GREEN SHOW 2,P,0,1,,,I,,,,,,,,,,,,NKL,GREEN,,,2 INVERT,Z2,,,,,,,UNC,
4,"1602 IL DEF VS UNC 09-10-16 SS IC_Clean, Play 004",4,1,10,2,1,-32,TY,TITE STACK,PIST DOT,,BUC BASE,DBP,NKL UNDER 3,P,5,1,,,C,,,,,,,,,,,,NKL,UNDER,,,3,Z3,,,,,,,UNC,
5,"1602 IL DEF VS UNC 09-10-16 SS IC_Clean, Play 005",5,2,5,2,2,-37,TY,TRIPS SPREAD,GUN NEAR,QB COUNTER OH WK,,FLOW,NKL OVER 3,R,1,1,,,,,,,,,,,,,,,NKL,OVER,,,3 CLOUD,Z3,,,,,,,UNC,
6,"1602 IL DEF VS UNC 09-10-16 SS IC_Clean, Play 006",6,3,4,2,3,-38,TY,,,,,,NKL GREEN PRESS 3,,,1,,,,,,,,,,,,,,,NKL,,,,,,,,,FS,,,UNC,
7,"1602 IL DEF VS UNC 09-10-16 SS IC_Clean, Play 007",7,3,9,2,4,-33,TY,TREY SPREAD,GUN NEAR,,OVER ROUTE,DBP,NKL WHIP,P,21,1,,,C,,,,,,SHIFT,,,,,,NKL,,,WHIP,,ZP,,,,,,,UNC,
8,"1602 IL DEF VS UNC 09-10-16 SS IC_Clean, Play 008",8,1,10,2,5,46,TY,TRIPS SPREAD,GUN NEAR,QB COUNTER OH WK,,FLOW,NKL OVER 3,R,39,1,,,,,,,,,,,,,,,NKL,OVER,,,3 CLOUD,Z3,,,,,,,UNC,
9,"1602 IL DEF VS UNC 09-10-16 SS IC_Clean, Play 009",9,1,7,2,6,7,TY,TRIPS YLW,GUN NEAR,OPTION FLOW,,FLOW,NKL OVER T-1,R,5,1,,H,,,,,,,,,3,,,,NKL,OVER,,,1-T,T-MF,,,,,,,UNC,
10,"1602 IL DEF VS UNC 09-10-16 SS IC_Clean, Play 010",10,2,2,2,7,2,TY,TRIPS YLW,GUN NEAR,OPTION FLOW,,FLOW,NKL OVER T-1,,,1,,,,,,,,,,,3,,,,NKL,OVER,,,1-T,T-MF,,,,OD,,,UNC,
11,"1602 IL DEF VS UNC 09-10-16 SS IC_Clean, Play 011",11,2,1,2,8,1,JBXO,JUMBO,I,QB SNEAK,,FLOW,UNDER T-10,R,1,1,,,,,,,M-PEEL,,,,,,,,BASE,UNDER,,,10-T,T-MF,,,,OD,,,UNC,
12,"1602 IL DEF VS UNC 09-10-16 SS IC_Clean, Play 012",12,1,10,3,1,28,TY,TREY YLW,GUN NEAR,OPTION SPLIT,,SPLIT,NKL UNDER PIRATE 5,R,3,1,,,,,,,,,,,1,,,,NKL,UNDER,PIRATE,,5 SKY,Z2,,,,,,,UNC,
13,"1602 IL DEF VS UNC 09-10-16 SS IC_Clean, Play 013",13,2,7,3,2,25,TY,TREY,GUN FAR,BOUNCE STR,,FLOOD,NKL UNDER PIRATE 5,R,-7,1,,,,,,,,,SHIFT,U WIPE,,,,,NKL,UNDER,PIRATE,,5 SKY,Z2,,,,,,,UNC,
14,"1602 IL DEF VS UNC 09-10-16 SS IC_Clean, Play 014",14,3,14,3,3,32,TY,TRIPS SPREAD,GUN FAR,,SEAMS,DBP,NKL GREEN 2,P,0,1,,,I,,,,,,,,#2 BUBBLE,,,,NKL,GREEN,,,2 BLUFF,Z2,,,,,,,UNC,
15,"1602 IL DEF VS UNC 09-10-16 SS IC_Clean, Play 015",15,1,10,4,1,19,TY,TRIPS SPREAD,GUN NEAR,OPTION BOUNCE,,FLOW,NKL OVER PIRATE 2,R,6,1,,H,,,,,,,,WIPE,3,,,,NKL,OVER,PIRATE,,2,Z2,,,,FM,,,UNC,
16,"1602 IL DEF VS UNC 09-10-16 SS IC_Clean, Play 016",16,1,6,4,2,6,TY,TRIPLES,GUN FAR,OPTION FLOOD,,FLOOD,NKL OVER STICK T-1,R,6,1,,Q,,,,PISTOL,,,SHIFT,,1,,,,NKL,OVER,STICK,,1-T,T-MF,,,,,,,UNC,
17,"1602 IL DEF VS UNC 09-10-16 SS IC_Clean, Play 017",17,1,10,5,1,-28,QD,QUADS,GUN FAR,OPTION FLOOD,,FLOOD,NKL DART,R,-2,2,,H,,,,PISTOL,,WIDE STACK,SHIFT,,1,,,,NKL,,,DART,,ZP,,,,,,,UNC,
18,"1602 IL DEF VS UNC 09-10-16 SS IC_Clean, Play 018",18,2,12,5,2,-26,TY,TREY YLW,GUN NEAR,,SEAMS,PFLOOD,NKL OVER PIRATE 2,P,28,2,,,C,,,,,,,,,,,,NKL,OVER,PIRATE,,2 SKY,Z2,,,,,,,UNC,
19,"1602 IL DEF VS UNC 09-10-16 SS IC_Clean, Play 019",19,1,10,5,3,46,TY,TRIPS YLW,GUN FAR,COUNTER OY WK,,FLOP,NKL DART,R,5,2,,,,,,,,,,HAWK,,,,,NKL,,,DART,,ZP,,,,,,,UNC,
20,"1602 IL DEF VS UNC 09-10-16 SS IC_Clean, Play 020",20,2,5,5,4,41,TY,TRIPS SPREAD,GUN FAR,,SCREEN RB FLARE,QCK,NKL UNDER 10,P,10,2,,,C,,,,H-FLY,,,,,,,,NKL,UNDER,,,10,MF,,,,,,,UNC,
21,"1602 IL DEF VS UNC 09-10-16 SS IC_Clean, Play 021",21,1,10,5,5,31,TY,TRIPS YLW,GUN NEAR,OPTION FLOW,,FLOW,NKL WHACK,R,5,2,,H,,,,,,,,,1,,,,NKL,,,WHACK,,ZP,,,,,,,UNC,
22,"1602 IL DEF VS UNC 09-10-16 SS IC_Clean, Play 022",22,2,5,5,6,26,TY,TRIPS SPREAD,GUN NEAR,,BEAR PASS,QCK,NKL OVER 3,P,4,2,,,C,,,,,,,QB COUNTER OH WK,,,,,NKL,OVER,,,3 CLOUD,Z3,,,,,,,UNC,
