RowIndex,Name,GameSegment.PlayNumber,Football.Down,Football.Distance,Football.SeriesNumber,Football.SeriesSeq,Football.FieldPosition,Play.Defense.OPers,Play.Defense.Formation_D,Play.Defense.BackSet_D,Play.Defense.Run_Play,Play.Defense.Route_D,Play.Defense.PlayType_D,Football.dcall,Play.Shared.RunPass,Football.Gain,Play.Quarter,Play.Defense.Hash_D,Play.Shared.BCREC,Football.PassResult,Play.Defense.Target,Play.Defense.TargetNum,Play.Defense.I_Form,Football.motion_d,Play.Defense.Variation,Football.shift_D,Play.Defense.Block,Football.routedesc_D,Football.check_D,Play.Shared.GL/SY,Play.Shared.2/4,Play.Defense.Personnel_D,Play.Defense.Front_D,Football.stuntdef_D,Play.Defense.Blitz_D,Play.Defense.Cover_D,Play.Defense.Coverage_Family,Play.Defense.ID_Call,Play.Shared.NP,Football.Penalty.Jersey,Football.Penalty.Type,Football.SeriesBeg,Football.SeriesEnd,Play.Shared.Opponent
1,"1603 IL DEF VS WMU 09-17-16 SS IC_Clean, Play 001",1,1,10,1,1,50,TY,TRIO YLW GUN,FAR SNIFF,,BEAR PASS,QCK,NKL OVER 1,P,-5,1,,,S,,,,,,,FALCON BELLY STR,,,,,NKL,OVER,,,1,MF,,,,,,,WMU
2,"1603 IL DEF VS WMU 09-17-16 SS IC_Clean, Play 002",2,2,15,1,2,-45,QD,TRIPS GUN,FAR ,QB DRAW,,FLOP,NKL STUD 3,P,-2,1,,,S,,,,H-PEEL,,,,,,,,NKL,OVER,STUD,,3,Z3,,,,,,,WMU
3,"1603 IL DEF VS WMU 09-17-16 SS IC_Clean, Play 003",3,3,17,1,3,-43,QD,QUADS GUN,NEAR,,SEAMS,DBP,NKL STUD LOOSE 2,P,0,1,,,I,,,,,,,,,,,,NKL,OVER,STUD,,2 LOOSE,Z2,,,,,,,WMU
4,"1603 IL DEF VS WMU 09-17-16 SS IC_Clean, Play 004",4,1,10,2,1,-20,TY,TRIO YLW GUN,NEAR SNIFF,,TEXAN PASS,QCK,NKL DART,P,0,1,,,I,,,,,,,TAMPA,,,,,NKL,,,DART,,ZP,,,,,,,WMU
5,"1603 IL DEF VS WMU 09-17-16 SS IC_Clean, Play 005",5,2,10,2,2,-20,TY,TRIPLES GUN,FAR,,DRAGON,QCK,NKL OVER 1,P,11,1,,,C,,,,,,,,,,,,NKL,OVER,,,1,MF,NKL OVER STUD CLOUD ,,,,,,WMU
6,"1603 IL DEF VS WMU 09-17-16 SS IC_Clean, Play 006",6,1,10,2,3,-31,TY,TRIPS YLW GUN,NEAR,OPTION READ TAMPA,,FLOW,NKL OVER 1,R,2,1,,H,,,,,,,,,3,,,,NKL,OVER,,,1,MF,,,,,,,WMU
7,"1603 IL DEF VS WMU 09-17-16 SS IC_Clean, Play 007",7,2,8,2,4,-33,TY,TRIPLES,GUN FAR,OPTION FLOOD,,FLOOD,NKL OVER 1,R,3,1,,H,,,,,,,,,1,,,,NKL,OVER,,,1,MF,NKL OVER PIR CLOUD 2,,,,,,WMU
8,"1603 IL DEF VS WMU 09-17-16 SS IC_Clean, Play 008",8,3,5,2,5,-36,TY,TREY SPREAD GUN,NEAR,,BUC BASE,DBP,NKL OVER PRESS 3,P,-4,1,,,C,,,,,,,,,,,,NKL,OVER,,,3 PRESS,Z3,,,,,,,WMU
9,"1603 IL DEF VS WMU 09-17-16 SS IC_Clean, Play 009",9,1,10,3,1,-40,TY,TRIPS YLW,GUN NEAR,OPTION FLOW,,FLOW,NKL OVER CLOUD 3,R,2,1,,H,,,,,,,,,3,,,,NKL,OVER,,,3 CLOUD,Z3,,,,,,,WMU
10,"1603 IL DEF VS WMU 09-17-16 SS IC_Clean, Play 010",10,2,8,3,2,-42,TY,TRIO YLW GUN,NEAR SNIFF,,PATRIOT PASS,QCK,NKL OVER CLOUD 3,P,10,1,,,C,,,,,,,,,,,,NKL,OVER,,,3 CLOUD,Z3,,,,,,,WMU
