RowIndex,Name,GameSegment.PlayNumber,Football.Down,Football.Distance,Football.SeriesNumber,Football.SeriesSeq,Football.FieldPosition,Play.Defense.OPers,Play.Defense.Formation_D,Play.Defense.BackSet_D,Play.Defense.Run_Play,Play.Defense.Route_D,Play.Defense.PlayType_D,Football.dcall,Play.Shared.RunPass,Football.Gain,Play.Quarter,Play.Defense.Hash_D,Play.Shared.BCREC,Football.PassResult,Play.Defense.Target,Play.Defense.TargetNum,Play.Defense.I_Form,Football.motion_d,Play.Defense.Variation,Football.shift_D,Play.Defense.Block,Football.routedesc_D,Football.check_D,Play.Shared.GL/SY,Play.Shared.2/4,Play.Defense.Personnel_D,Play.Defense.Front_D,Football.stuntdef_D,Play.Defense.Blitz_D,Play.Defense.Cover_D,Play.Defense.Coverage_Family,Play.Defense.ID_Call,Play.Shared.NP,Football.Penalty.Jersey,Football.Penalty.Type,Football.SeriesBeg,Football.SeriesEnd,Play.Shared.Opponent
1,"1604 IL DEF VS NE 10-01-16 SS IC_Clean, Play 001",1,1,10,1,1,-25,DC,DOUBLE,DOT,BELLY WK,,FLOOD,OVER 3,R,4,1,,,,,,,,U-OFF,,,,,,,BASE,OVER,,,,,,,,,,,NEB
2,"1604 IL DEF VS NE 10-01-16 SS IC_Clean, Play 002",2,2,6,1,2,-29,TY,TREY ,I NEAR,,SLANTS,,NKL OVER 3,P,10,1,,,C,,,,,,,,,,,,NKL,OVER,,,,,,,,,,,NEB
3,"1604 IL DEF VS NE 10-01-16 SS IC_Clean, Play 003",3,1,10,1,3,-39,TY,TRIPS UNB,DOT,FLOP RUN,,FLOP,NKL OVER 1,R,6,1,,,,,,,W-JET,Y-OFF,,,,,,,NKL,OVER,,,,,,,,,,,NEB
4,"1604 IL DEF VS NE 10-01-16 SS IC_Clean, Play 004",4,2,4,1,4,-45,RG,PRO,I,LEAD WK,,,OVER 1,R,3,1,,,,,,,,,,,,,,,BASE,OVER,,,,,,,,,,,NEB
5,"1604 IL DEF VS NE 10-01-16 SS IC_Clean, Play 005",5,3,1,1,5,-48,DC,DOUBLE,DOT,QB SNEAK,,,NKL UNDER 10,R,3,1,,,,,,,,U-OFF,,,,,,,NKL,UNDER,,,10,,,,,,,,NEB
6,"1604 IL DEF VS NE 10-01-16 SS IC_Clean, Play 006",6,1,10,1,6,49,DC,TRIPLES UNBALANCED GUN,FAR,,BOOT,,OVER SPEAR,P,2,1,,,C,,,,,,,,,,,,BASE,,,,,,,,,,,,NEB
7,"1604 IL DEF VS NE 10-01-16 SS IC_Clean, Play 007",7,2,8,1,7,47,TY,TRIPLES,GUN FAR,OPTION FLOOD,,FLOOD,NKL OVER PIRATE SKY 2,R,0,1,,H,,,,,,,,,1,,,,NKL,OVER,,,2 SKY,Z2,,,,,,,NEB
8,"1604 IL DEF VS NE 10-01-16 SS IC_Clean, Play 008",8,3,8,1,8,47,TY,TRIPS GUN,FAR,,CHINA CORNER,,NKL GREEN SHOW 2,P,18,1,,,C,,,,,Y-OFF,,,,,,,NKL,GREEN,,,,,,,,,,,NEB
9,"1604 IL DEF VS NE 10-01-16 SS IC_Clean, Play 009",9,1,10,1,9,29,TY,TREY GUN,FAR,,OVER ROUTE,,NKL OVER 1,P,0,1,,,I,,,,,Y-OFF,,,,,,,NKL,OVER,,,,,,,,,,,NEB
10,"1604 IL DEF VS NE 10-01-16 SS IC_Clean, Play 010",10,2,10,1,10,29,TY,TRIPS SPREAD GUN,FAR,QB DRAW,,FLOW,NKL OVER 1,R,13,1,,,,,,TRIPS GUN,H-FLY,,SHIFT,,,,,,NKL,OVER,,,,,,,,,,,NEB
11,"1604 IL DEF VS NE 10-01-16 SS IC_Clean, Play 011",11,1,10,1,11,16,DC,TRIPLES,DOT,BOUNCE WK,,,OVER 1,R,2,1,,,,,,,,U-OFF,,,,,,,BASE,OVER,,,,,,,,,,,NEB
12,"1604 IL DEF VS NE 10-01-16 SS IC_Clean, Play 012",12,2,8,1,12,14,TY,TREY SPREAD GUN,NEAR,,SLANTS,,NKL OVER PIRATE 2,P,13,1,,,C,,,,,,,,,,,,NKL,OVER,,,2,,,,,,,,NEB
