RowIndex,Name,GameSegment.PlayNumber,Football.Down,Football.Distance,Football.SeriesNumber,Football.SeriesSeq,Football.FieldPosition,Play.Defense.OPers,Play.Defense.Formation_D,Play.Defense.BackSet_D,Play.Defense.Run_Play,Play.Defense.Route_D,Play.Defense.PlayType_D,Football.dcall,Play.Shared.RunPass,Football.Gain,Play.Quarter,Play.Defense.Hash_D,Play.Shared.BCREC,Football.PassResult,Play.Defense.Target,Play.Defense.TargetNum,Play.Defense.I_Form,Football.motion_d,Play.Defense.Variation,Football.shift_D,Play.Defense.Block,Football.routedesc_D,Football.check_D,Play.Shared.GL/SY,Play.Shared.2/4,Play.Defense.Personnel_D,Play.Defense.Front_D,Football.stuntdef_D,Play.Defense.Blitz_D,Play.Defense.Cover_D,Play.Defense.Coverage_Family,Play.Defense.ID_Call,Play.Shared.NP,Football.Penalty.Jersey,Football.Penalty.Type,Football.SeriesBeg,Football.SeriesEnd,Play.Shared.Opponent
1,"1605 IL DEF VS PU 10-08-16 SS IC_Clean, Play 001",1,1,10,1,1,-21,TY,TREY,GUN NEAR,OPTION SPLIT,,SPLIT,NKL DART,R,6,1,,,,,,,ZOOM JET,Y-OFF,,,1,,,,NKL,,,DART,,ZP,,,,,,,PUR
2,"1605 IL DEF VS PU 10-08-16 SS IC_Clean, Play 002",2,2,4,1,2,-27,TY,TRIPS GUN NEAR Y-OFF,,BOOT,,,NKL OVER PIRATE 2,P,4,1,,,,,,,,,,,,,,,NKL,OVER,,,2,,,,,,,,PUR
3,"1605 IL DEF VS PU 10-08-16 SS IC_Clean, Play 003",3,1,10,1,3,-32,TY,PISTOL TRIPS BUNCH,,OPTION READ FALCON,,,NKL OVER 1,P,,1,,,,,,,,,,,,,,,NKL,OVER,,,,,,,,,,,PUR
4,"1605 IL DEF VS PU 10-08-16 SS IC_Clean, Play 004",4,1,5,1,4,-37,TY,TREY GUN NEAR Y-OFF,,SCREEN RB FLARE,,,NKL OVER STICK 3,R,-5,1,,,,,,,,,,,,,,,NKL,OVER,STICK,,3,,,,,,,,PUR
5,"1605 IL DEF VS PU 10-08-16 SS IC_Clean, Play 005",5,2,10,1,5,-32,TY,TRIPS UNB,GUN FAR,OPTION FLOP HAWK,,FLOP,NKL WHACK,R,4,1,,H,,,,,,Y-OFF,,HAWK,3,,,,NKL,,,WHACK,,ZP,,,,,,,PUR
6,"1605 IL DEF VS PU 10-08-16 SS IC_Clean, Play 006",6,3,6,1,6,-36,TY,TITE STACK GUN NEAR,,CROSSERS,CROSSERS,,NKL OVER PRESS 3,P,0,1,,,I,,,,,,,,,,,,NKL,OVER,,,3 PRESS,,,,,,,,PUR
7,"1605 IL DEF VS PU 10-08-16 SS IC_Clean, Play 007",7,1,10,2,1,-28,QD,QUADS GUN,,SLANTS,,,NKL OVER 1,P,0,1,,,I,,,,,,,,,,,,NKL,OVER,,,,,,,,,,,PUR
8,"1605 IL DEF VS PU 10-08-16 SS IC_Clean, Play 008",8,2,10,2,2,-28,TY,TRIPS SPREAD GUN NEAR,,SPRINTOUT STAR,,,NKL OVER PIRATE BLUFF 2,P,8,1,,,C,,,,,,,,,,,,NKL,OVER,,,2 BLUFF,,,,,,,,PUR
9,"1605 IL DEF VS PU 10-08-16 SS IC_Clean, Play 009",9,3,2,2,3,-36,TY,TRIPS,GUN NEAR,OPTION FLOW,,FLOW,NKL OVER 1,R,3,1,,H,,,,,,Y-OFF,,,3,,,,NKL,OVER,,,1,MF,,,,,,,PUR
10,"1605 IL DEF VS PU 10-08-16 SS IC_Clean, Play 010",10,1,10,2,4,-40,,EMPTY GUN,,REVERSE,,,SMASH,R,1,1,,,,,,,,,,,,,,,BASE,,,,,,,,,,,,PUR
