RowIndex,Name,GameSegment.PlayNumber,Football.Down,Football.Distance,Football.SeriesNumber,Football.SeriesSeq,Football.FieldPosition,Play.Defense.OPers,Play.Defense.Formation_D,Play.Defense.BackSet_D,Play.Defense.Run_Play,Play.Defense.Route_D,Play.Defense.PlayType_D,Football.dcall,Play.Shared.RunPass,Football.Gain,Play.Quarter,Play.Defense.Hash_D,Play.Shared.BCREC,Football.PassResult,Play.Defense.Target,Play.Defense.TargetNum,Play.Defense.I_Form,Football.motion_d,Play.Defense.Variation,Football.shift_D,Play.Defense.Block,Football.routedesc_D,Football.check_D,Play.Shared.GL/SY,Play.Shared.2/4,Play.Defense.Personnel_D,Play.Defense.Front_D,Football.stuntdef_D,Play.Defense.Blitz_D,Play.Defense.Cover_D,Play.Defense.Coverage_Family,Play.Defense.ID_Call,Play.Shared.NP,Football.Penalty.Jersey,Football.Penalty.Type,Football.SeriesBeg,Football.SeriesEnd,Play.Shared.Opponent
1,"1606 IL DEF VS RU 10-15-16 SS IC_Clean, Play 001",1,1,10,1,1,-24,TY,SQUARE UNB,GUN NEAR,COUNTER CY WK,,FLOW,NKL OVER 1,R,7,1,,,,,,PISTOL,,Y-OFF,SHIFT,HAWK,,,,,NKL,OVER,,,,,,,,,,,RUTG
2,"1606 IL DEF VS RU 10-15-16 SS IC_Clean, Play 002",2,2,3,1,2,-31,TY,TRIPLES UNB,GUN FAR,OPTION FLOOD HAWK,,FLOOD,NKL UNDER 10,R,5,1,,H,,,,,,Y-OFF,,HAWK,3,,,,NKL,UNDER,,,10,MF,,,,,,,RUTG
3,"1606 IL DEF VS RU 10-15-16 SS IC_Clean, Play 003",3,1,10,1,3,-36,TY,TREY GUN,FAR,,FLOOD PASS,PFLOOD,NKL UNDER 10,P,-4,1,,,S,SK,,PISTOL TREY,,Y-OFF,SHIFT,,ALL SEAMS,,,,NKL,UNDER,,,10,,,,,,,,RUTG
4,"1606 IL DEF VS RU 10-15-16 SS IC_Clean, Play 004",4,2,14,1,4,-32,TY,TRIO ZOO GUN,SWAP,QB COUNTER CH WK,,FLOP,NKL UNDER 10,R,4,1,,,,,,,W-FLY,,,,,,,,NKL,UNDER,,,10,,,,,,,,RUTG
5,"1606 IL DEF VS RU 10-15-16 SS IC_Clean, Play 005",5,3,10,1,5,-36,TY,EMPTY GUN,EMPTY,,BUC BASE,DBP,NKL GREEN 2,P,6,1,,,C,,,EMPTY GUN,H-IN,,,,W-DIG,,,,NKL,GREEN,,,,,,,,,,,RUTG
6,"1606 IL DEF VS RU 10-15-16 SS IC_Clean, Play 006",6,1,10,2,1,-20,TY,SQUARE UNB,GUN NEAR,OPTION FLOW,,FLOW,NKL UNDER 10,R,6,1,,H,,,,PISTOL,,Y-OFF,SHIFT,,1,,,,NKL,UNDER,,,10,MF,,,,,,,RUTG
7,"1606 IL DEF VS RU 10-15-16 SS IC_Clean, Play 007",7,2,4,2,2,-26,TY,SQUARE UNB GUN,NEAR,,BEAR PASS,QCK,NKL DART,P,6,1,,,C,,,,,"Y-OFF,WIDE BUNCH",,TAMPA,,,,,NKL,,,,,,,,,,,,RUTG
8,"1606 IL DEF VS RU 10-15-16 SS IC_Clean, Play 008",8,1,10,2,3,-32,TY,TRIPS YLW UNB,GUN NEAR,OPTION FLOW,,FLOW,NKL UNDER 10,R,32,1,,H,,,,PISTOL,W-JET,,SHIFT,,1,,,,NKL,UNDER,,,10,MF,,,,,,,RUTG
9,"1606 IL DEF VS RU 10-15-16 SS IC_Clean, Play 009",9,1,10,2,4,36,TY,SQUARE UNB,GUN NEAR,OPTION FLOW,,FLOW,NKL UNDER 10,R,9,1,,Q,,,,,,"Y-OFF,WIDE BUNCH",,,1,,,,NKL,UNDER,,,10,MF,,,,,,,RUTG
10,"1606 IL DEF VS RU 10-15-16 SS IC_Clean, Play 010",10,2,1,2,5,27,TY,TRIPS,GUN NEAR,OPTION SPEED,,FLOW,NKL OVER 1,R,15,1,,,,,,PISTOL,,Y-OFF,SHIFT,,3,,,,NKL,OVER,,,1,MF,,,,,,,RUTG
11,"1606 IL DEF VS RU 10-15-16 SS IC_Clean, Play 011",11,1,10,2,6,12,TY,SQUARE UNB,GUN NEAR,OPTION FLOW,,FLOW,NKL OVER T-1,R,3,1,,H,,,,,,"Y-OFF,WIDE BUNCH",,,1,,,,NKL,OVER,,,1-T,T-MF,,,,,,,RUTG
12,"1606 IL DEF VS RU 10-15-16 SS IC_Clean, Play 012",12,2,7,2,7,9,TY,TRIPS SPREAD GUN,NEAR,QB DRAW,,FLOP,NKL UNDER T-10,R,2,1,,,,,,PISTOL TRIPS SPREAD,,,SHIFT,H LEAD,,,,,NKL,UNDER,,,,,,,,,,,RUTG
13,"1606 IL DEF VS RU 10-15-16 SS IC_Clean, Play 013",13,1,10,3,1,-11,TY,SQUARE UNB GUN,NEAR,COUNTER CY WK,,,NKL OVER 1,R,2,1,,,,,,PISTOL SQUARE UNB,,,SHIFT,,,,,,NKL,OVER,,,,,,,,,,,RUTG
14,"1606 IL DEF VS RU 10-15-16 SS IC_Clean, Play 014",14,2,8,3,2,-13,TY,TRIPS YLW ZOO UNB,GUN NEAR,OPTION BOUNCE,,FLOW,NKL DART,R,7,1,,W,,,,,W-SH FLY,,,,1,,,,NKL,,,DART,,ZP,,,,,,,RUTG
