RowIndex,Name,GameSegment.PlayNumber,Play.Defense.OPers,Play.Defense.I_Form,Football.motion_d,Football.shift_D,Play.Defense.Variation,Play.Defense.Formation_D,Play.Defense.BackSet_D,Play.Defense.PlayType_D,Play.Defense.Run_Play,Play.Shared.BCREC,Play.Defense.Route_D,Football.routedesc_D,Play.Defense.Target,Play.Defense.TargetNum,Play.Defense.Block
1,"1607 IL DEF VS UM 10-22-16 SS IC_Clean, Play 001",1,TK,TANK Y-OUT,Y-PEEL,,,WING,I,FLOW,POWER O,,,,,,
2,"1607 IL DEF VS UM 10-22-16 SS IC_Clean, Play 002",2,RG,,,,,SLOT,I,FLOOD,LEAD WK,,,,,,
3,"1607 IL DEF VS UM 10-22-16 SS IC_Clean, Play 003",3,TY,TREY,Y-PEEL,,Y-OFF,TRIPS,DOT,QCK,,,SLANTS,,,,
4,"1607 IL DEF VS UM 10-22-16 SS IC_Clean, Play 004",4,RG,SLOT,F-PEEL,SHIFT,,TRIPS Y-OUT,DOT,FLOW,TOSS STR,,,,,,
5,"1607 IL DEF VS UM 10-22-16 SS IC_Clean, Play 005",5,RG,,Z-IG,,XZSTK,SLOT,I NR,PFLOW,,,PATRIOT PASS,,,,
6,"1607 IL DEF VS UM 10-22-16 SS IC_Clean, Play 006",6,RG5,,,,Y-OFF,TRIPS CAT,GUN FAR,FLOP,OPTION COUNTER,Q,,3,,,
7,"1607 IL DEF VS UM 10-22-16 SS IC_Clean, Play 007",7,TK,WING,U-SH PEEL,,,POWER I,PWR I FR,FLOOD,LEAD WK,,,,,,
8,"1607 IL DEF VS UM 10-22-16 SS IC_Clean, Play 008",8,TY5,,,,,TREY,GUN NEAR,QCK,,,SLANTS,,,,
9,"1607 IL DEF VS UM 10-22-16 SS IC_Clean, Play 009",9,TK5,,,,,BONE,PIST I FR,FLOOD,OPTION FLOOD HAWK,Q,,1,,,HAWK
10,"1607 IL DEF VS UM 10-22-16 SS IC_Clean, Play 010",10,FT,,,,,SQUARE,EMPTY GUN,DBP,,,CROSSERS,,,,
11,"1607 IL DEF VS UM 10-22-16 SS IC_Clean, Play 011",11,TK,WING,U-ZOOM,,Y-OFF,TANK,I NR,PFLOW,,,TAMPA PASS,3 LEVEL,,,
12,"1607 IL DEF VS UM 10-22-16 SS IC_Clean, Play 012",12,RG,,,,,SLOT,I,FLOOD,LEAD WK,,,,,,
13,"1607 IL DEF VS UM 10-22-16 SS IC_Clean, Play 013",13,TKXO,TANK Y-OUT,,,,WING U-OUT,I,PFLOW,,,2 MAN ROUTE,BANG 8,,,
14,"1607 IL DEF VS UM 10-22-16 SS IC_Clean, Play 014",14,TK,,,,,WING,I FR,SPLIT,COUNTER O STR,,,,,,
15,"1607 IL DEF VS UM 10-22-16 SS IC_Clean, Play 015",15,TY,,,,,TRIPLES,DOT,FLOOD,JET SWEEP,,,,,,
16,"1607 IL DEF VS UM 10-22-16 SS IC_Clean, Play 016",16,TK,,,,,BONE,PIST I NR,FLOOD,OPTION FLOOD FALCON,,,3,,,HAWK
17,"1607 IL DEF VS UM 10-22-16 SS IC_Clean, Play 017",17,TY,,,,,TRIPS BUNCH,GUN FAR,DBP,,,HILLSBOROUGH,,,,
18,"1607 IL DEF VS UM 10-22-16 SS IC_Clean, Play 018",18,RG,SLOT,ZOOM,,ZCL,PRO ,I FR,PSPLIT,,,COUNTER PASS,OVER RT,,,
19,"1607 IL DEF VS UM 10-22-16 SS IC_Clean, Play 019",19,TY,,,,,TRIPS,GUN NEAR,FLOW,OPTION BOUNCE,,,3,,,WIPE
20,"1607 IL DEF VS UM 10-22-16 SS IC_Clean, Play 020",20,RG,,Z-JET,,,PRO,I FR,PFLOOD,,,BOOT FLOOD,FALCON/3LV,,,
21,"1607 IL DEF VS UM 10-22-16 SS IC_Clean, Play 021",21,PW,WING,U-ZOOM,,Y-OFF,TANK,,FLOW,TOSS STR,,,,,,TUG C
22,"1607 IL DEF VS UM 10-22-16 SS IC_Clean, Play 022",22,JB,,M-IG,,,JUMBO,I,FLOW,LEAD STR,,,,,,
23,"1607 IL DEF VS UM 10-22-16 SS IC_Clean, Play 023",23,JB,JUMBO,M-PEEL,,,JUMBO,I FR,PFLOOD,,,TAMPA PASS,FALCON/OVR,,,
24,"1607 IL DEF VS UM 10-22-16 SS IC_Clean, Play 024",24,JB,,M-IG,,,JUMBO,I,FLOOD,FB BELLY,,,,,,
25,"1607 IL DEF VS UM 10-22-16 SS IC_Clean, Play 025",25,TK,,,,,TANK,I,PFLOW,,,BOOT NINER,OUTNUP/OVR,,,
26,"1607 IL DEF VS UM 10-22-16 SS IC_Clean, Play 026",26,RG,,,,,SLOT,I,FLOOD,LEAD WK,,,,,,
27,"1607 IL DEF VS UM 10-22-16 SS IC_Clean, Play 027",27,RG5,,Y-IG,,Y-OFF,DOUBLE OUT,GUN NEAR,SPLIT,CAT BOUNCE STR,,,,,,EXPRESS
28,"1607 IL DEF VS UM 10-22-16 SS IC_Clean, Play 028",28,RG,DETROIT,F-SH PEEL,,,SLOT,I NR,SPLIT,WHAM,,,,,,
29,"1607 IL DEF VS UM 10-22-16 SS IC_Clean, Play 029",29,TK,,F-SH FLY,,,WING,I,FLOW,TOSS STR,,,,,,EXPRESS
30,"1607 IL DEF VS UM 10-22-16 SS IC_Clean, Play 030",30,TY,,,,Y-OFF,TITE STACK,GUN FAR,DBP,,,FALCON SEHORN,FALCON,,,
31,"1607 IL DEF VS UM 10-22-16 SS IC_Clean, Play 031",31,RG5,,,,,TRIPS YLW,PIST DOT,FLOW,OPTION FLOW,Q,,1,,,Y-LEAD
32,"1607 IL DEF VS UM 10-22-16 SS IC_Clean, Play 032",32,TK,WING,U-SH PEEL,,,POWER I,PWR I NR,FLOOD,LEAD WK,,,,,,
33,"1607 IL DEF VS UM 10-22-16 SS IC_Clean, Play 033",33,PW,,,,,FLAT,FLAT,FLOW,DOUBLE LEAD,,,,,,
34,"1607 IL DEF VS UM 10-22-16 SS IC_Clean, Play 034",34,DC,TRIPLES,,SHIFT,,DETROIT WING,GUN NEAR,QCK,,,DRAGON,BULLETS,,,
35,"1607 IL DEF VS UM 10-22-16 SS IC_Clean, Play 035",35,RG,,,,,PRO,GUN SWAP,FLOOD,LEAD WK,,,,,,
36,"1607 IL DEF VS UM 10-22-16 SS IC_Clean, Play 036",36,RG,,,,,SLOT,I NR,PFLOW,,,COUNTER PASS,SLANTS,,,POWER O
37,"1607 IL DEF VS UM 10-22-16 SS IC_Clean, Play 037",37,TK,,,,,WING,I,FLOW,TAMPA LEAD,,,,,,
38,"1607 IL DEF VS UM 10-22-16 SS IC_Clean, Play 038",38,RG,SLOT,Z-JET,SHIFT,,PRO,I NR,SPLIT,JET SWEEP,,,,,,
39,"1607 IL DEF VS UM 10-22-16 SS IC_Clean, Play 039",39,DC,,,,,DEUCE,DOT,PFLOOD,,,BOOT FLOOD,,,,
40,"1607 IL DEF VS UM 10-22-16 SS IC_Clean, Play 040",40,RG5,,,,,TRIPS YLW,PIST DOT,FLOP,OPTION FLOP HAWK,Q,,3,,,HAWK
41,"1607 IL DEF VS UM 10-22-16 SS IC_Clean, Play 041",41,DC,,,,,DEUCE,DOT,PFLOOD,,,WAGGLE FLOOD,FALCON,,,
42,"1607 IL DEF VS UM 10-22-16 SS IC_Clean, Play 042",42,QD,,,,WIDE STACKS,QUADS,GUN FAR,DBP,,,SCREEN RB,,,,
43,"1607 IL DEF VS UM 10-22-16 SS IC_Clean, Play 043",43,RG,,,,,SLOT,I,FLOOD,LEAD WK,,,,,,
44,"1607 IL DEF VS UM 10-22-16 SS IC_Clean, Play 044",44,DC,TRIPS BUNCH,U-OUT,,Y-NASTY,TRIPS OUTSIDE,DOT,FLOP,STEELER DRAW,,,,,,
45,"1607 IL DEF VS UM 10-22-16 SS IC_Clean, Play 045",45,TK,WING,U-SH PEEL,,,POWER I,PWR I NR,FLOW,WHAM,,,,,,
46,"1607 IL DEF VS UM 10-22-16 SS IC_Clean, Play 046",46,JB,,M-IG,,,JUMBO,I,FLOW,LEAD STR,,,,,,
47,"1607 IL DEF VS UM 10-22-16 SS IC_Clean, Play 047",47,JB,,M-IG,,,JUMBO,I,FLOW,TOSS STR,,,,,,U WIPE
48,"1607 IL DEF VS UM 10-22-16 SS IC_Clean, Play 048",48,TK,WING,U-ZOOM,,Y-OFF,TANK,I,PFLOW,,,3 LEVEL,,,,
49,"1607 IL DEF VS UM 10-22-16 SS IC_Clean, Play 049",49,TY,,,,,TRIPS SPREAD,DOT,FLOP,STEELER DRAW,,,,,,
50,"1607 IL DEF VS UM 10-22-16 SS IC_Clean, Play 050",50,TK,,,,,SLOT,I NR,PFLOW,,,VIKING WHEEL,,,,
51,"1607 IL DEF VS UM 10-22-16 SS IC_Clean, Play 051",51,TK,TANK Y-OUT,Y-MOTION,,,WING,I,FLOOD,STRETCH LEAD WK,,,,,,
52,"1607 IL DEF VS UM 10-22-16 SS IC_Clean, Play 052",52,TK,TANK Y-OUT,Y-MOTION,,,WING,I NR,FLOOD,COUNTER OF WK,,,,,,
53,"1607 IL DEF VS UM 10-22-16 SS IC_Clean, Play 053",53,TR,,,,,TRIO,I,PFLOOD,,,FLOOD PASS,GO/DRAGON,,,
54,"1607 IL DEF VS UM 10-22-16 SS IC_Clean, Play 054",54,TY,,,,,TRIPS,GUN FAR,DBP,,,WALSH,,,,
55,"1607 IL DEF VS UM 10-22-16 SS IC_Clean, Play 055",55,RG,,,,,PRO,I,FLOOD,FALCON BELLY WK,,,,,,
56,"1607 IL DEF VS UM 10-22-16 SS IC_Clean, Play 056",56,RG,SLOT,ZOOM,,,PRO,I NEAR,,,,,,,,
57,"1607 IL DEF VS UM 10-22-16 SS IC_Clean, Play 057",57,RG,SLOT,ZOOM,,ZCL,PRO,I NR,PFLOW,,,2 MAN ROUTE,BANG 8,,,
58,"1607 IL DEF VS UM 10-22-16 SS IC_Clean, Play 058",58,TK,WING,U-SH PEEL,,,POWER I,PWR I FR,FLOOD,DOUBLE LEAD,,,,,,
59,"1607 IL DEF VS UM 10-22-16 SS IC_Clean, Play 059",59,DC,,,,,DEUCE,DOT,PSPLIT,,,COUNTER PASS,DRAGONS,,,
60,"1607 IL DEF VS UM 10-22-16 SS IC_Clean, Play 060",60,TK,WING,U-IG,,,POWER I,PWR I NR,FLOW,DOUBLE LEAD,,,,,,
61,"1607 IL DEF VS UM 10-22-16 SS IC_Clean, Play 061",61,RG,DEUCE,ZOOM,,,TRIPLES,DOT,PFLOOD,,,3 LEVEL,,,,
62,"1607 IL DEF VS UM 10-22-16 SS IC_Clean, Play 062",62,TY,,,,,TREY,FAR,DBP,,,BUC BASE,,,,
63,"1607 IL DEF VS UM 10-22-16 SS IC_Clean, Play 063",63,TK,WING,U-ZOOM,,Y-OFF,TANK,I NR,FLOW,TOSS STR,,,,,,U WIPE
64,"1607 IL DEF VS UM 10-22-16 SS IC_Clean, Play 064",64,TK,WING,U-SH PEEL,,,POWER I,PWR I FR,FLOW,FB BELLY,,,,,,
65,"1607 IL DEF VS UM 10-22-16 SS IC_Clean, Play 065",65,TYXO,,,,,TRIPS,GUN FAR,DBP,,,BACKSHOULDER,OVER RT,,,
66,"1607 IL DEF VS UM 10-22-16 SS IC_Clean, Play 066",66,RG,,X-JET,,,PRO UNB,I NR,FLOP,FLOP LEAD,,,,,,
67,"1607 IL DEF VS UM 10-22-16 SS IC_Clean, Play 067",67,TY,TRIPS,Y-PEEL,,,TREY SPREAD,GUN FAR,DBP,,,PIVOT,OPTION,,,
68,"1607 IL DEF VS UM 10-22-16 SS IC_Clean, Play 068",68,TK,WING,U-ZOOM,,,TANK,I,FLOOD,LEAD WK,,,,,,
69,"1607 IL DEF VS UM 10-22-16 SS IC_Clean, Play 069",69,RG,,,,,SLOT,I,FLOOD,LEAD WK,,,,,,
70,"1607 IL DEF VS UM 10-22-16 SS IC_Clean, Play 070",70,TY,,,,,TREY,GUN FAR,PFLOOD,,,SCREEN WR,,,,COUNTER O
71,"1607 IL DEF VS UM 10-22-16 SS IC_Clean, Play 071",71,TY,,,,,TRIPS SPREAD,DOT,FLOP,STEELER DRAW,,,,,,
72,"1607 IL DEF VS UM 10-22-16 SS IC_Clean, Play 072",72,DC,,,,,DEUCE,DOT,PFLOOD,,,BOOT FLOOD,,,,
73,"1607 IL DEF VS UM 10-22-16 SS IC_Clean, Play 073",73,DC,,Z-JET,,,DETROIT WING,DOT,FLOOD,JET SWEEP,,,,,,
74,"1607 IL DEF VS UM 10-22-16 SS IC_Clean, Play 074",74,DC,TRIPLES,U-FLY,,,DETROIT WING,DOT,QCK,,,BULLETS,HI-LOW,,,
