RowIndex,Name,GameSegment.PlayNumber,Football.Down,Football.Distance,Football.SeriesNumber,Football.SeriesSeq,Football.FieldPosition,Play.Defense.OPers,Play.Defense.Formation_D,Play.Defense.BackSet_D,Play.Defense.Run_Play,Play.Defense.Route_D,Play.Defense.PlayType_D,Football.dcall,Play.Shared.RunPass,Football.Gain,Play.Quarter,Play.Defense.Hash_D,Play.Shared.BCREC,Football.PassResult,Play.Defense.Target,Play.Defense.TargetNum,Play.Defense.I_Form,Football.motion_d,Play.Defense.Variation,Football.shift_D,Play.Defense.Block,Football.routedesc_D,Football.check_D,Play.Shared.GL/SY,Play.Shared.2/4,Play.Defense.Personnel_D,Play.Defense.Front_D,Football.stuntdef_D,Play.Defense.Blitz_D,Play.Defense.Cover_D,Play.Defense.Coverage_Family,Play.Defense.ID_Call,Play.Shared.NP,Football.Penalty.Jersey,Football.Penalty.Type,Football.SeriesBeg,Football.SeriesEnd,Play.Shared.Opponent
1,"1608 IL DEF VS MN 10-29-16 SS IC_Clean, Play 001",1,1,10,1,1,-33,TY,TREY YLW,PISTOL DOT,OPTION SPLIT ARC,,SPLIT,NKL OVER 1,R,3,1,,Q,,,,,,,,,,,,,,OVER,,,1,MF,,,,,,,MINN
2,"1608 IL DEF VS MN 10-29-16 SS IC_Clean, Play 002",2,2,7,1,2,-36,TY,TRIPS YLW UNB,PISTOL DOT,COUNTER OY WK,,FLOW,NKL UNDER 10,R,8,1,,,,,,,W-JET,,,,,,,,,UNDER,,,10,MF,,,,,,,MINN
3,"1608 IL DEF VS MN 10-29-16 SS IC_Clean, Play 003",3,1,10,1,3,-44,TY,TREY,GUN FAR,,DRAGON,QCK,NKL OVER 1,P,0,1,,,I,,,,,Y-OFF,,,SLANTS,,,,,OVER,,,1,MF,,,,,,,MINN
4,"1608 IL DEF VS MN 10-29-16 SS IC_Clean, Play 004",4,2,10,1,4,-44,RG,DEUCE,DOT,BELLY WK,,FLOOD,OVER 1,R,3,1,,,,,,,,,,,,,,,,OVER,,,1,MF,,,,,,,MINN
5,"1608 IL DEF VS MN 10-29-16 SS IC_Clean, Play 005",5,3,7,1,5,-47,TY,TREY,GUN NEAR,,BASE,DBP,NKL GOPHER FREE,P,0,1,,,I,,,,,Y-OFF,,,FALCON,,,,,,,GOPHER,1,MP,,,,,,,MINN
6,"1608 IL DEF VS MN 10-29-16 SS IC_Clean, Play 006",6,1,9,2,1,9,TY,TREY,PISTOL DOT,BOUNCE STR,,,NKL OVER T-1,R,9,1,,,,,,,W-PEEL,,,TUG C,,,,,,OVER,,,T-1,T-MF,,,,,,,MINN
7,"1608 IL DEF VS MN 10-29-16 SS IC_Clean, Play 007",7,1,10,3,1,-46,RG,PRO,I,,BOOT SPLIT,PSPLIT,OVER SPEAR,P,-11,1,,,S,,,,,,,,,,,,,,,SPEAR,,ZP,,,,,,,MINN
8,"1608 IL DEF VS MN 10-29-16 SS IC_Clean, Play 008",8,2,21,3,2,-35,TY,TREY,PISTOL DOT,,SHALLOW ROUTE,DBP,NKL OVER STICK 2,R,0,1,,,,,,TRIPS,ZOOM,,,,,,,,,OVER,STICK,,2,Z2,,,,,,,MINN
9,"1608 IL DEF VS MN 10-29-16 SS IC_Clean, Play 009",9,3,21,3,3,-35,TY,TRIPS,GUN FAR,,BUC SEAMS,,NKL GREEN 2,P,9,1,,,C,,,,,,,,,,,,,GREEN,,,2,Z2,,,,,,,MINN
10,"1608 IL DEF VS MN 10-29-16 SS IC_Clean, Play 010",10,1,10,4,1,-25,TY,TREY YLW,PISTOL DOT,BELLY WK,,FLOOD,NKL OVER PIRATE SKY 2,R,5,1,,,,,,,,,,,,,,,,OVER,PIRATE,,2 SKY,Z2,,,,,,,MINN
11,"1608 IL DEF VS MN 10-29-16 SS IC_Clean, Play 011",11,2,5,4,2,-30,TY,TRIPLES,DOT,JET SWEEP,,FLOOD,NKL WHACK,R,7,1,,,,,,,W-JET,,,,,,,,,,,WHACK,,ZP,NKL UNDER 10,,,,,,MINN
12,"1608 IL DEF VS MN 10-29-16 SS IC_Clean, Play 012",12,1,10,4,3,-37,RG,PRO,I,,2 MAN ROUTE,PFLOP,OVER SPEAR,P,-11,1,,,S,,,,Z-IN,,,,OVER/POST,,,,,,,SPEAR,,ZP,,,,,,,MINN
13,"1608 IL DEF VS MN 10-29-16 SS IC_Clean, Play 013",13,2,21,4,4,-26,TY,TREY YLW,PISTOL DOT,OPTION SPLIT ARC,,SPLIT,NKL GREEN 2,R,12,1,,H,,,,,,,,,,,,,,GREEN,,,2,Z2,NKL OVER 2,,,,,,MINN
