RowIndex,Name,GameSegment.PlayNumber,Football.Down,Football.Distance,Football.SeriesNumber,Football.SeriesSeq,Football.FieldPosition,Play.Defense.OPers,Play.Defense.Formation_D,Play.Defense.BackSet_D,Play.Defense.Run_Play,Play.Defense.Route_D,Play.Defense.PlayType_D,Football.dcall,Play.Shared.RunPass,Football.Gain,Play.Quarter,Play.Defense.Hash_D,Play.Shared.BCREC,Football.PassResult,Play.Defense.Target,Play.Defense.TargetNum,Play.Defense.I_Form,Football.motion_d,Play.Defense.Variation,Football.shift_D,Play.Defense.Block,Football.routedesc_D,Football.check_D,Play.Shared.GL/SY,Play.Shared.2/4,Play.Defense.Personnel_D,Play.Defense.Front_D,Football.stuntdef_D,Play.Defense.Blitz_D,Play.Defense.Cover_D,Play.Defense.Coverage_Family,Play.Defense.ID_Call,Play.Shared.NP,Football.Penalty.Jersey,Football.Penalty.Type,Football.SeriesBeg,Football.SeriesEnd,Play.Shared.Opponent
1,"1609 IL DEF VS MS 11-05-16 SS IC_Clean, Play 001",1,1,10,1,1,-42,TY,TRIPS,GUN NEAR,COUNTER T WK,,FLOW,NKL OVER 1,R,15,1,,,,,,,,,,,,,,,,OVER,,,1,MF,,,,,,,MSU
2,"1609 IL DEF VS MS 11-05-16 SS IC_Clean, Play 002",2,1,10,1,2,43,DC,DOUBLE,DOT,BELLY STR,,SPLIT,OVER 1,R,3,1,,,,,,DEUCE,,U-OFF,SHIFT,U-FOLD,,,,,,OVER,,,1,MF,,,,,,,MSU
3,"1609 IL DEF VS MS 11-05-16 SS IC_Clean, Play 003",3,2,7,1,3,40,TY,TRIPS,GUN FAR,,BUC BASE,DBP,NKL OVER STICK 1,P,0,1,,,I,,,,,,,,,,,,,OVER,STICK,,1,MF,,,,,,,MSU
4,"1609 IL DEF VS MS 11-05-16 SS IC_Clean, Play 004",4,3,7,1,4,40,TY,TREY,GUN NEAR,,OPTION,DBP,NKL GREEN BLUFF 2,P,10,1,,,C,,,,,,,,OVER RT,,,,,GREEN,,,2 BLUFF,Z2,,,,,,,MSU
5,"1609 IL DEF VS MS 11-05-16 SS IC_Clean, Play 005",5,1,10,1,5,30,TR,TRIO,I,GADGET,,FLOOD,OVER SPEAR,R,,1,,,,,,,,,,,POWER O WK,,,,,,,SPEAR,,ZP,,,,SH,,,MSU
6,"1609 IL DEF VS MS 11-05-16 SS IC_Clean, Play 006",6,1,15,1,6,35,RG,TRIPS,DOT,COUNTER TF WK,,FLOW,OVER PIRATE BLUFF 2,R,7,1,,,,,,,,,,,,,,,,OVER,PIRATE,,2 BLUFF,Z2,,,,,,,MSU
7,"1609 IL DEF VS MS 11-05-16 SS IC_Clean, Play 007",7,2,8,1,7,28,RG,PRO,I NR,,INDY PASS,PFLOW,OPEN SMASH,P,0,1,,,I,,,,Z-IN,,,,,,,,,,,OPEN SMASH,,ZP,,,,,,,MSU
8,"1609 IL DEF VS MS 11-05-16 SS IC_Clean, Play 008",8,3,8,1,8,28,RG,EMPTY,EMPTY GUN,,CHIEF,DBP,OVER BLUFF 2,P,0,1,,,I,,,,,,,,CHIEF,,,,,OVER,,,2 BLUFF,Z2,,,,,,,MSU
9,"1609 IL DEF VS MS 11-05-16 SS IC_Clean, Play 009",9,1,10,2,1,-26,TY,TRIPS,GUN NEAR,,HITCHES,QCK,NKL OVER STICK 1,P,7,1,,,C,,,,,,,,,,,,,OVER,STICK,,1,MF,,,,,,,MSU
10,"1609 IL DEF VS MS 11-05-16 SS IC_Clean, Play 010",10,2,3,2,2,-33,RG,SLOT,I,LEAD WK,,FLOOD,OVER 1,R,2,1,,,,,,,,XZSTK,,,,,,,,OVER,,,1,MF,,,,,,,MSU
11,"1609 IL DEF VS MS 11-05-16 SS IC_Clean, Play 011",11,3,1,2,3,-35,JBXO,JUMBO UNB,I NR,SNEAK,,FLOW,HEAVY OVER 1,R,5,1,,,,,,JUMBO MOVE,M-PEEL,,,,,,,,,OVER,,,1,MF,,,,,,,MSU
12,"1609 IL DEF VS MS 11-05-16 SS IC_Clean, Play 012",12,1,10,2,4,-40,RG,PRO,I NR,,COUNTER PASS,PFLOP,OVER 1,P,17,1,,,C,,,PRO,,ZCL,SHIFT,,POST/OVER,,,,,OVER,,,1,MF,,,,,,,MSU
13,"1609 IL DEF VS MS 11-05-16 SS IC_Clean, Play 013",13,1,10,2,5,43,TR,TRIO,I,LEAD WK,,FLOOD,NKL OVER PIRATE 2,R,3,1,,,,,,,,,,,,,,,,OVER,PIRATE,,2,Z2,,,,,,,MSU
14,"1609 IL DEF VS MS 11-05-16 SS IC_Clean, Play 014",14,2,7,2,6,40,TR,EMPTY,EMPTY GUN,,JERK ROUTE,DBP,NKL OVER 2,P,8,1,,,C,,,,,,,,BULLETS,,,,,OVER,,,2,Z2,,,,,,,MSU
15,"1609 IL DEF VS MS 11-05-16 SS IC_Clean, Play 015",15,1,10,2,7,32,CAT,TREY CAT,GUN NEAR,CAT BOUNCE STR,,SPLIT,NKL OVER 1,R,-1,1,,,,,,TRIPS CAT,Y-PEEL,,,,,,,,,OVER,,,1,MF,NKL DART,,,,,,MSU
16,"1609 IL DEF VS MS 11-05-16 SS IC_Clean, Play 016",16,2,11,2,8,33,DC,DEUCE,DOT,,FALCON,DBP,OVER 1,P,0,1,,,I,,,,,,,,FALCON,,,,,OVER,,,1,MF,,,,,,,MSU
17,"1609 IL DEF VS MS 11-05-16 SS IC_Clean, Play 017",17,3,11,2,9,33,,,,,,,NKL BRONCO FREE,,,1,,,,,,,,,,,,,,,,,,,,,,,,OD,,,MSU
18,"1609 IL DEF VS MS 11-05-16 SS IC_Clean, Play 018",18,3,6,2,10,28,TY,TITE TRIPS BUNCH,GUN FAR,,TRAIL ROUTE,DBP,NKL OVER PRESS 1,P,13,1,,,C,,,TITE STACK,ZOOM,,,,FALCON,,,,,OVER,,,1 PRESS,MF,,,,,,,MSU
19,"1609 IL DEF VS MS 11-05-16 SS IC_Clean, Play 019",19,1,10,2,11,15,DC,DETROIT WING,DOT,COUNTER TF WK,,SPLIT,OVER 1,R,,1,,,,,,,,,,,,,,,,OVER,,,1,MF,,,,HO,,,MSU
20,"1609 IL DEF VS MS 11-05-16 SS IC_Clean, Play 020",20,1,20,2,12,25,TR,DOUBLE OUTSIDE,GUN NEAR,,CHIEF,DBP,OVER 2,P,-6,1,,,S,,,TRIO,H-PEEL,,,,BUC POST,,,,,OVER,,,2,Z2,,,,,,,MSU
21,"1609 IL DEF VS MS 11-05-16 SS IC_Clean, Play 021",21,2,26,2,13,31,TY,TRIPS SPREAD,DOT,STEELER DRAW,,FLOP,NKL OVER STUD 2,R,1,1,,,,,,,,,,,,,,,,OVER,STUD,,2,Z2,,,,,,,MSU
22,"1609 IL DEF VS MS 11-05-16 SS IC_Clean, Play 022",22,3,25,2,14,30,TY,EMPTY,EMPTY GUN,,CHIEF,DBP,NKL GREEN 2,R,,1,,,,,,,,,,,CHIEF,,,,,GREEN,,,2,Z2,,,,HO,,,MSU
23,"1609 IL DEF VS MS 11-05-16 SS IC_Clean, Play 023",23,3,35,2,15,40,TY,TRIPS SPREAD BUNCH,GUN NEAR,,SCREEN RB,DBP,NKL GREEN 2,P,4,1,,,C,,,,,,,,,,,,,GREEN,,,2,Z2,,,,,,,MSU
24,"1609 IL DEF VS MS 11-05-16 SS IC_Clean, Play 024",24,1,10,3,1,-29,RG,PRO UNB,I NR,POWER O,,FLOW,OVER 1,R,2,1,,,,,,PRO,X-JET,,SHIFT,,,,,,,OVER,,,1,MF,,,,,,,MSU
25,"1609 IL DEF VS MS 11-05-16 SS IC_Clean, Play 025",25,2,8,3,2,-31,TY,TRIPLES,GUN NEAR,,SCREEN WR,QCK,NKL WHACK,P,6,1,,,C,,,,,,,,,,,,,,,WHACK,,ZP,,,,,,,MSU
26,"1609 IL DEF VS MS 11-05-16 SS IC_Clean, Play 026",26,3,2,3,3,-37,RG,PRO UNB,I NR,,SCREEN RB THROWBACK,PFLOP,OVER PRESS 1,P,13,1,,,C,,,PRO,X-JET,,SHIFT,,,,,,,OVER,,,1 PRESS,MF,,,,,,,MSU
27,"1609 IL DEF VS MS 11-05-16 SS IC_Clean, Play 027",27,1,10,3,4,50,TY,TREY,GUN FAR,COUNTER OY WK,,FLOOD,NKL OVER STICK 1,R,2,2,,,,,,TREY,,Y-OFF,SHIFT,,,,,,,OVER,STICK,,1,MF,,,,,,,MSU
28,"1609 IL DEF VS MS 11-05-16 SS IC_Clean, Play 028",28,2,8,3,5,48,TY,TRIPS,GUN NEAR,COUNTER T WK,,FLOW,NKL OVER 1,R,2,2,,,,,,,,,,,,,,,,OVER,,,1,MF,,,,,,,MSU
29,"1609 IL DEF VS MS 11-05-16 SS IC_Clean, Play 029",29,3,6,3,6,46,TY,TREY,GUN NEAR,,SLANTS,QCK,NKL OVER STUD PRESS 3,P,12,2,,,C,,,,,,,,STAR RT,,,,,OVER,STUD,,3 PRESS,Z3,,,,,,,MSU
30,"1609 IL DEF VS MS 11-05-16 SS IC_Clean, Play 030",30,1,10,3,7,34,RG,PRO,I NR,FALCON SPLIT BELLY,,SPLIT,OVER SPEAR,R,0,2,,,,,,,ZOOM ORBIT,,,FALCON,,,,,,,,SPEAR,,ZP,,,,,,,MSU
31,"1609 IL DEF VS MS 11-05-16 SS IC_Clean, Play 031",31,2,10,3,8,34,RG,PRO,I,GADGET,,FLOOD,OVER PIRATE BLUFF 2,R,-1,2,,,,,,,,ZCL,SHIFT,POWER O WK,,,,,,OVER,PIRATE,,2 BLUFF,Z2,,,,,,,MSU
32,"1609 IL DEF VS MS 11-05-16 SS IC_Clean, Play 032",32,3,11,3,9,35,TY,TREY,GUN NEAR,,DENVER,DBP,NKL GREEN SHOW 2,P,,2,,,,,,TRIPS,Y-MOVE,,,,BULLETS,,,,,GREEN,,,2 SHOW,Z2,,,,HO,,,MSU
33,"1609 IL DEF VS MS 11-05-16 SS IC_Clean, Play 033",33,3,21,3,10,45,TY,TRIPS SPREAD BUNCH,GUN NEAR,,FALCON,DBP,NKL GREEN BLUFF 2,P,0,2,,,I,,,,,,,,HILLSBORO,,,,,GREEN,,,2 BLUFF,Z2,,,,,,,MSU
