RowIndex,Name,GameSegment.PlayNumber,Football.Down,Football.Distance,Football.SeriesNumber,Football.SeriesSeq,Football.FieldPosition,Play.Defense.OPers,Play.Defense.Formation_D,Play.Defense.BackSet_D,Play.Defense.Run_Play,Play.Defense.Route_D,Play.Defense.PlayType_D,Football.dcall,Play.Shared.RunPass,Football.Gain,Play.Quarter,Play.Defense.Hash_D,Play.Shared.BCREC,Football.PassResult,Play.Defense.Target,Play.Defense.TargetNum,Play.Defense.I_Form,Football.motion_d,Play.Defense.Variation,Football.shift_D,Play.Defense.Block,Football.routedesc_D,Football.check_D,Play.Shared.GL/SY,Play.Shared.2/4,Play.Defense.Personnel_D,Play.Defense.Front_D,Football.stuntdef_D,Play.Defense.Blitz_D,Play.Defense.Cover_D,Play.Defense.Coverage_Family,Play.Defense.ID_Call,Play.Shared.NP,Football.Penalty.Jersey,Football.Penalty.Type,Football.SeriesBeg,Football.SeriesEnd,Play.Shared.Opponent,Play.Comments1
1,"1610 IL DEF VS WI 11-12-16 SS IC UPDATE_Clean, Play 001",1,1,10,1,1,-27,TKPY,TRIPS TRUMP UNB,DOT,JET SWEEP,,FLOP,OVER 1,R,6,1,,,,,,,H-JET,,,,,,,,,OVER,,,1,MF,,,,,,,WIS,
2,"1610 IL DEF VS WI 11-12-16 SS IC UPDATE_Clean, Play 002",2,2,4,1,2,-33,RG,PRO,I,STRETCH LEAD WK,,FLOW,OVER 1,R,3,1,,,,,,,,,,,,,,,,OVER,,,1,MF,,,,,,,WIS,
3,"1610 IL DEF VS WI 11-12-16 SS IC UPDATE_Clean, Play 003",3,3,1,1,3,-36,TK,POWER I,PWR I NR,FB BELLY,,FLOP,OVER 1,R,3,1,,,,,,WING,U-SH IG,,,,,,,,,OVER,,,1,MF,,,,,,,WIS,
4,"1610 IL DEF VS WI 11-12-16 SS IC UPDATE_Clean, Play 004",4,1,10,1,4,-39,DC,DETROIT WING,DOT,BELLY WK,,FLOOD,OVER 1,R,5,1,,,,,,,Z-JET,"FLIP, XZSTK",,,,,,,,OVER,,,1,MF,,,,,,,WIS,
5,"1610 IL DEF VS WI 11-12-16 SS IC UPDATE_Clean, Play 005",5,2,5,1,5,-44,RG,SLOT,I,LEAD WK,,FLOOD,SMASH,R,0,1,,,,,,,,,,,,,,,,,,SMASH,,ZP,,,,,,,WIS,
6,"1610 IL DEF VS WI 11-12-16 SS IC UPDATE_Clean, Play 006",6,3,5,1,6,-44,TY,TRIPS,GUN NEAR,,CHINA CORNER,SPRINTOUT,NKL STUD PRESS 3,P,0,1,,,I,,,,,"FLIP, XZSTK, Y-OFF",,,,,,,,OVER,STUD,,3 PRESS,Z3,,,,,,,WIS,
7,"1610 IL DEF VS WI 11-12-16 SS IC UPDATE_Clean, Play 007",7,1,10,2,1,-49,RG,PRO,I,,HITCHES,QCK,OVER 1,P,17,1,,,C,,,,F-SH PEEL,,,,,,,,,OVER,,,1,MF,,,,,,,WIS,
8,"1610 IL DEF VS WI 11-12-16 SS IC UPDATE_Clean, Play 008",8,1,10,2,2,34,DC,TRIPLES,DOT,COUNTER OU STR,,FLOW,OVER SPEAR,R,9,1,,,,,,,,U-OFF,,,,,,,,,,SPEAR,,ZP,,,,,,,WIS,
9,"1610 IL DEF VS WI 11-12-16 SS IC UPDATE_Clean, Play 009",9,2,1,2,3,25,DC,TRIPLES,DOT,COUNTER OU STR,,FLOW,OVER 1,R,23,1,,,,,,,,U-OFF,,,,,,,,OVER,,,1,MF,,,,,,,WIS,
10,"1610 IL DEF VS WI 11-12-16 SS IC UPDATE_Clean, Play 010",10,1,2,2,4,2,JB,BONE,I FR,COUNTER OM WK,,FLOOD,OVER T-1,R,2,1,,,,,,JUMBO,,,SHIFT,,,,,,,OVER,,,T-1,T-MF,,,,,,,WIS,
11,"1610 IL DEF VS WI 11-12-16 SS IC UPDATE_Clean, Play 011",11,1,8,3,1,8,TK,POWER I,PWR I NR,LEAD WK,,FLOOD,OVER T-1,R,4,1,,,,,,WING,U-SH IG,,,,,,,,,OVER,,,T-1,T-MF,,,,,,,WIS,
12,"1610 IL DEF VS WI 11-12-16 SS IC UPDATE_Clean, Play 012",12,2,4,3,2,4,JB,JUMBO,I,BOUNCE WK,,FLOOD,OVER T-1,R,4,1,,,,,,,,,,U,,,,,,OVER,,,T-1,T-MF,,,,,,,WIS,
13,"1610 IL DEF VS WI 11-12-16 SS IC UPDATE_Clean, Play 013",13,1,10,4,1,-22,BG,TRIPS BUNCH,DOT,FLOP RUN,,FLOP,UNDER 10,R,0,1,,,,,,,,,,,,,,,,UNDER,,,10,MF,,,,,,,WIS,
14,"1610 IL DEF VS WI 11-12-16 SS IC UPDATE_Clean, Play 014",14,2,10,4,2,-22,TY,TRIPS,GUN FAR,COUNTER T WK,,FLOP,NKL OVER 1,R,48,1,,,,,,,,,,,,,,,,OVER,,,1,MF,,,,,,,WIS,
15,"1610 IL DEF VS WI 11-12-16 SS IC UPDATE_Clean, Play 015",15,1,10,4,3,30,BG,POWER I,PWR I FR,WHAM,,FLOOD,OVER SPEAR,R,1,1,,,,,,WING,U-SH PEEL,,,,,,,,,,,SPEAR,,ZP,,,,,,,WIS,
16,"1610 IL DEF VS WI 11-12-16 SS IC UPDATE_Clean, Play 016",16,2,9,4,4,29,BG,TRIPS BUNCH,DOT,,BOOT NINER,PFLOW,UNDER 10,P,24,1,,,C,,,,,,,,,,,,,UNDER,,,10,MF,,,,,,,WIS,
17,"1610 IL DEF VS WI 11-12-16 SS IC UPDATE_Clean, Play 017",17,1,5,4,5,5,TK,WING,I,POWER O,,FLOW,OVER T-SPEAR,R,-3,1,,,,,,,,,,,,,,,,,,SPEAR,,T-ZP,,,,,,,WIS,
18,"1610 IL DEF VS WI 11-12-16 SS IC UPDATE_Clean, Play 018",18,2,8,4,6,8,TY,TRIPS,GUN FAR,,SLANTS,QCK,NKL STAB T-1,P,8,1,,,C,,,,,"FLIP, XZSTK, Y-OFF",,,,,,,,OVER,STAB,,1-T,T-MF,,,,,,,WIS,
19,"1610 IL DEF VS WI 11-12-16 SS IC UPDATE_Clean, Play 019",19,1,10,5,1,43,BG,TRIPS BUNCH,DOT,,GADGET,PFLOW,OVER 2,P,0,1,,,I,,,,,,,,,,,,,OVER,,,2,Z2,,,,,,,WIS,
20,"1610 IL DEF VS WI 11-12-16 SS IC UPDATE_Clean, Play 020",20,2,10,5,2,43,TY,TRIPS,GUN FAR,COUNTER T WK,,FLOP,NKL DART,R,7,1,,,,,,,,,,,,,,,,,,DART,,ZP,,,,,,,WIS,
21,"1610 IL DEF VS WI 11-12-16 SS IC UPDATE_Clean, Play 021",21,3,3,5,3,36,TY,TRIPS SPREAD,GUN FAR,DRAW,,FLOP,NKL DART,R,17,2,,,,,,,,,,,,,,,,,,DART,,ZP,,,,,,,WIS,
22,"1610 IL DEF VS WI 11-12-16 SS IC UPDATE_Clean, Play 022",22,1,10,5,4,19,DC,TRIPLES,DOT,BOUNCE WK,,FLOOD,OVER PIRATE 2,R,4,2,,,,,,,,,,U WIPE,,,,,,OVER,PIRATE,,2,Z2,,,,,,,WIS,
23,"1610 IL DEF VS WI 11-12-16 SS IC UPDATE_Clean, Play 023",23,2,6,5,5,15,TKPY,TRIPS TRUMP UNB,DOT,BELLY WK,,FLOP,OVER 1,R,5,2,,,,,,,H-JET,,,,,,,,,OVER,,,1,MF,,,,,,,WIS,
24,"1610 IL DEF VS WI 11-12-16 SS IC UPDATE_Clean, Play 024",24,3,1,5,6,10,TK,POWER I,PWR I NR,LEAD WK,,FLOOD,OVER SPEAR,R,3,2,,,,,,WING,U-SH IG,,,,,,,,,,,SPEAR,,ZP,,,,,,,WIS,
25,"1610 IL DEF VS WI 11-12-16 SS IC UPDATE_Clean, Play 025",25,1,7,5,7,7,TK,WING,I,,BOOT FLOW HAWK,PFLOW,OVER T-1,P,7,2,,,C,,,,,,,,,,,,,OVER,,,1-T,T-MF,,,,,,,WIS,
26,"1610 IL DEF VS WI 11-12-16 SS IC UPDATE_Clean, Play 026",26,1,10,6,1,-21,RG,PRO,I,,SLANTS,QCK,OVER 1,P,11,2,,,C,,,PRO,,,SHIFT,,,,,,,OVER,,,1,MF,,,,,,,WIS,
27,"1610 IL DEF VS WI 11-12-16 SS IC UPDATE_Clean, Play 027",27,1,10,6,2,-32,DC,TRIPLES,DOT,COUNTER OU STR,,FLOW,OVER STAB 2,R,5,2,,,,,,,,"FLIP, XZSTK, U-OFF",,,,,,,,OVER,STAB,,2,Z2,,,,,,,WIS,
28,"1610 IL DEF VS WI 11-12-16 SS IC UPDATE_Clean, Play 028",28,2,5,6,3,-37,DC,TRIPLES,DOT,COUNTER OU STR,,FLOW,OVER SPEAR,R,4,2,,,,,,,,"FLIP, XZSTK, U-OFF",,,,,,,,,,SPEAR,,ZP,STICK 2,,,,,,WIS,
29,"1610 IL DEF VS WI 11-12-16 SS IC UPDATE_Clean, Play 029",29,3,1,6,4,-41,TK,POWER I,PWR I NR,LEAD WK,,FLOOD,UNDER 10,R,0,2,,,,,,WING,U-SH IG,,,,,,,,,UNDER,,,10,MF,,,,,,,WIS,
30,"1610 IL DEF VS WI 11-12-16 SS IC UPDATE_Clean, Play 030",30,1,10,6,5,-46,DC,DETROIT WING,DOT,JET SWEEP,,FLOOD,OVER PIRATE 2,R,5,2,,,,,,,Z-JET,"FLIP, XZSTK",,,,,,,,OVER,PIRATE,,2,Z2,,,,,,,WIS,
31,"1610 IL DEF VS WI 11-12-16 SS IC UPDATE_Clean, Play 031",31,2,5,6,6,49,TY,TRIPS,GUN FAR,COUNTER T WK,,FLOP,NKL OVER STAB 2,R,-1,2,,,,,,,,,,,,,,,,OVER,STAB,,2,Z2,,,,,,,WIS,
32,"1610 IL DEF VS WI 11-12-16 SS IC UPDATE_Clean, Play 032",32,3,6,6,7,50,TY,TRIPS SPREAD,GUN FAR,,WALSH,DBP,NKL STUD PRESS 1,P,0,2,,,I,,,,,,,,,,,,,OVER,STUD,,1 PRESS,MF,,,,,,,WIS,
33,"1610 IL DEF VS WI 11-12-16 SS IC UPDATE_Clean, Play 033",33,1,10,7,1,-40,RG,PRO,I FR,,HITCHES,QCK,OVER PIRATE 2,P,0,2,,,I,,,,,,,,,,,,,OVER,PIRATE,,2,Z2,,,,,,,WIS,
34,"1610 IL DEF VS WI 11-12-16 SS IC UPDATE_Clean, Play 034",34,2,10,7,2,-40,TY,TRIPS,GUN FAR,OPTION BOUNCE,,FLOP,NKL OVER STAB 2,R,9,2,,,,,,,,,,TUG C,,,,,,OVER,STAB,,2,Z2,,,,,,,WIS,
35,"1610 IL DEF VS WI 11-12-16 SS IC UPDATE_Clean, Play 035",35,3,1,7,3,-49,TK,POWER I,PWR I NR,FB BELLY,,FLOP,UNDER 10,R,2,2,,,,,,WING,U-SH IG,,,,,,,,,UNDER,,,10,MF,,,,,,,WIS,
36,"1610 IL DEF VS WI 11-12-16 SS IC UPDATE_Clean, Play 036",36,1,10,7,4,49,TK,TANK,I NR,,TAMPA PASS,PFLOW,OVER 1,P,0,2,,,I,,,WING,U-ZOOM,Y-OFF,,,,,,,,OVER,,,1,MF,,,,,,,WIS,
37,"1610 IL DEF VS WI 11-12-16 SS IC UPDATE_Clean, Play 037",37,2,10,7,5,49,DC,TRIPLES,DOT,COUNTER OU STR,,FLOW,OVER SPEAR,R,5,2,,,,,,,,"FLIP, XZSTK, U-OFF",,,,,,,,,,SPEAR,,ZP,STAB 2,,,,,,WIS,
38,"1610 IL DEF VS WI 11-12-16 SS IC UPDATE_Clean, Play 038",38,3,5,7,6,44,TY,TRIPS SPREAD,GUN FAR,,DRAGON,QCK,NKL STUD PRESS 1,P,0,2,,,I,,,,,,,,,,,,,OVER,STUD,,1 PRESS,MF,,,,,,,WIS,
39,"1610 IL DEF VS WI 11-12-16 SS IC UPDATE_Clean, Play 039",39,1,10,8,1,10,DC,TITE STACK,DOT,COUNTER OY WK,,FLOOD,OVER PIG 2,R,-2,2,,,,,,,,,,,,,,,,OVER,PIRATE,,2,Z2,,,,,,,WIS,
40,"1610 IL DEF VS WI 11-12-16 SS IC UPDATE_Clean, Play 040",40,2,12,8,2,12,TY,TRIPS SPREAD,GUN FAR,,STEELER,DBP,NKL STAB T-2,P,-5,2,,,S,,,,,,,,,,,,,OVER,STAB,,T-2,T-Z2,,,,,,,WIS,
41,"1610 IL DEF VS WI 11-12-16 SS IC UPDATE_Clean, Play 041",41,3,17,8,3,17,TY,TRIPS SPREAD,GUN FAR,,OAKLAND,DBP,NKL STUD 2,P,3,2,,,,,,,,,,,,,,,,OVER,STUD,,2,Z2,,,,FP,,,WIS,
42,"1610 IL DEF VS WI 11-12-16 SS IC UPDATE_Clean, Play 042",42,1,10,9,1,-39,RG,PRO,I,STRETCH LEAD WK,,FLOOD,OVER PIRATE 2,R,11,3,,,,,,,,,,,,,,,,OVER,PIRATE,,2,Z2,,,,,,,WIS,
43,"1610 IL DEF VS WI 11-12-16 SS IC UPDATE_Clean, Play 043",43,1,10,9,2,50,DC,TITE STACK,DOT,COUNTER OY WK,,FLOOD,OVER STAB 2,R,4,3,,,,,,TRIPS TRUMP BUNCH,,,SHIFT,,,,,,,OVER,STAB,,2,Z2,,,,,,,WIS,
44,"1610 IL DEF VS WI 11-12-16 SS IC UPDATE_Clean, Play 044",44,2,6,9,3,46,DC,TRIPLES,DOT,COUNTER OU STR,,FLOW,OVER STICK 2,R,2,3,,,,,,DETROIT UNB,,"FLIP, XZSTK, U-OFF",SHIFT,,,,,,,OVER,STICK,,2,Z2,,,,,,,WIS,
45,"1610 IL DEF VS WI 11-12-16 SS IC UPDATE_Clean, Play 045",45,3,4,9,4,44,DC,TITE STACK,GUN FAR,,CROSSERS,DBP,OVER 2,P,4,3,,,C,,,,,,,,,,,,,OVER,,,2,Z2,SPEAR,,,,,,WIS,
46,"1610 IL DEF VS WI 11-12-16 SS IC UPDATE_Clean, Play 046",46,1,10,9,5,40,RG,PRO,I,STRETCH LEAD WK,,FLOOD,OVER PIRATE 2,R,1,3,,,,,,,,,,,,,,,,OVER,PIRATE,,2,Z2,,,,,,,WIS,
47,"1610 IL DEF VS WI 11-12-16 SS IC UPDATE_Clean, Play 047",47,2,9,9,6,39,TY,TRIPS,GUN FAR,OPTION BOUNCE,,FLOP,NKL WHACK,R,19,3,,,,,,,,,,U WIPE,,,,,,,,WHACK,,ZP,,,,,,,WIS,
48,"1610 IL DEF VS WI 11-12-16 SS IC UPDATE_Clean, Play 048",48,1,10,9,7,20,TK,WING,I NR,,TAMPA PASS,PFLOW,OVER PIRATE 2,P,15,3,,,C,,,,,,,,,,,,,OVER,PIRATE,,2,Z2,,,,,,,WIS,
49,"1610 IL DEF VS WI 11-12-16 SS IC UPDATE_Clean, Play 049",49,1,5,9,8,5,TK,POWER I,PWR I NR,LEAD WK,,FLOOD,OVER T-2,R,1,3,,,,,,WING,U-SH IG,,,,,,,,,OVER,,,2,T-2,OVER T-SPEAR,,,,,,WIS,
