RowIndex,Name,GameSegment.PlayNumber,Football.Down,Football.Distance,Football.SeriesNumber,Football.SeriesSeq,Football.FieldPosition,Play.Defense.OPers,Play.Defense.Formation_D,Play.Defense.BackSet_D,Play.Defense.Run_Play,Play.Defense.Route_D,Play.Defense.PlayType_D,Football.dcall,Play.Shared.RunPass,Football.Gain,Play.Quarter,Play.Defense.Hash_D,Play.Shared.BCREC,Football.PassResult,Play.Defense.Target,Play.Defense.TargetNum,Play.Defense.I_Form,Football.motion_d,Play.Defense.Variation,Football.shift_D,Play.Defense.Block,Football.routedesc_D,Football.check_D,Play.Shared.GL/SY,Play.Shared.2/4,Play.Defense.Personnel_D,Play.Defense.Front_D,Football.stuntdef_D,Play.Defense.Blitz_D,Play.Defense.Cover_D,Play.Defense.Coverage_Family,Play.Defense.ID_Call,Play.Shared.NP,Football.Penalty.Jersey,Football.Penalty.Type,Football.SeriesBeg,Football.SeriesEnd,Play.Shared.Opponent
1,"1611 IL DEF VS IA 11-19-16 SS IC_Clean, Play 001",1,1,10,1,1,-25,TK,TANK,I,BOUNCE STR,,FLOW,HEAVY OVER 1,R,8,1,,,,,,WING,U-ZOOM,Y-OFF,,,,,,,,OVER,,,1,MF,,,,,,,IOWA
2,"1611 IL DEF VS IA 11-19-16 SS IC_Clean, Play 002",2,2,2,1,2,-33,TK,TANK,I,BOUNCE WK,,FLOOD,HEAVY OVER 1,R,0,1,,,,,,WING,U-ZOOM,Y-OFF,,,,,,,,OVER,,,1,MF,,,,,,,IOWA
3,"1611 IL DEF VS IA 11-19-16 SS IC_Clean, Play 003",3,3,2,1,3,-33,TK,TANK,I,FB BELLY,,FLOP,HEAVY OVER 1,R,1,1,,,,,,WING,U-SH PEEL,Y-OFF,,,,,,,,OVER,,,1,MF,,,,,,,IOWA
4,"1611 IL DEF VS IA 11-19-16 SS IC_Clean, Play 004",4,1,10,2,1,-15,RG,PRO,I,,FLOOD PASS,PFLOOD,OVER PIRATE 2,P,0,1,,,I,,,,,,,,,,,,,OVER,PIRATE,,2,Z2,,,,,,,IOWA
5,"1611 IL DEF VS IA 11-19-16 SS IC_Clean, Play 005",5,2,10,2,2,-15,DC,TRIPS TRUMP BUNCH,DOT,GADGET,,SPLIT,OVER 3,R,2,1,,,,,,,,,,HAWK,Z-REVERSE,,,,,OVER,,,3,Z3,,,,,,,IOWA
6,"1611 IL DEF VS IA 11-19-16 SS IC_Clean, Play 006",6,3,8,2,3,-17,,,,,,,NKL GREEN 2,Pen,,1,,,,,,,,,,,,,,,,,,,,,,,,FS,,,IOWA
7,"1611 IL DEF VS IA 11-19-16 SS IC_Clean, Play 007",7,3,13,2,4,-12,TY,TREY SPREAD,GUN FAR,,SHOVEL PASS,DBP,NKL GREEN 2,P,2,1,,,C,,,,,,,,,,,,,GREEN,,,2,Z2,,,,,,,IOWA
8,"1611 IL DEF VS IA 11-19-16 SS IC_Clean, Play 008",8,1,10,3,1,-17,TK,TANK,I,BOUNCE STR,,FLOW,OVER PIRATE 2,R,4,1,,,,,,,,,,U WIPE,,,,,,OVER,PIRATE,,2,Z2,,,,,,,IOWA
9,"1611 IL DEF VS IA 11-19-16 SS IC_Clean, Play 009",9,2,6,3,2,-21,TY,TRIPS,DOT,,W-DIG,DBP,NKL OVER 1,P,16,1,,,C,,,,,,,,,,,,,OVER,,,1,MF,,,,,,,IOWA
10,"1611 IL DEF VS IA 11-19-16 SS IC_Clean, Play 010",10,1,10,3,3,-37,DC,TRIPS TRUMP BUNCH,DOT,,BOOT NINER,PFLOP,OVER 3,P,17,1,,,C,,,,,,,HAWK,,,,,,OVER,,,3,Z3,,,,,,,IOWA
