RowIndex,Name,GameSegment.PlayNumber,Football.Down,Football.Distance,Football.SeriesNumber,Football.SeriesSeq,Football.FieldPosition,Play.Defense.OPers,Play.Defense.Formation_D,Play.Defense.BackSet_D,Play.Defense.Run_Play,Play.Defense.Route_D,Play.Defense.PlayType_D,Football.dcall,Play.Shared.RunPass,Football.Gain,Play.Quarter,Play.Defense.Hash_D,Play.Shared.BCREC,Football.PassResult,Play.Defense.Target,Play.Defense.TargetNum,Play.Defense.I_Form,Football.motion_d,Play.Defense.Variation,Football.shift_D,Play.Defense.Block,Football.routedesc_D,Football.check_D,Play.Shared.GL/SY,Play.Shared.2/4,Play.Defense.Personnel_D,Play.Defense.Front_D,Football.stuntdef_D,Play.Defense.Blitz_D,Play.Defense.Cover_D,Play.Defense.Coverage_Family,Play.Defense.ID_Call,Play.Shared.NP,Football.Penalty.Jersey,Football.Penalty.Type,Football.SeriesBeg,Football.SeriesEnd,Play.Shared.Opponent,Play.Comments1
1,"1612 IL DEF VS NU 11-26-16 SS IC_Clean, Play 001",1,1,10,1,1,-9,TY,TREY,GUN FAR,OPTION FLOOD HAWK,,FLOOD,NKL OVER 1,R,2,1,,H,,,,,,Y-OFF,,HAWK,,,,,,OVER,,,1,MF,,,,,,,NW,
2,"1612 IL DEF VS NU 11-26-16 SS IC_Clean, Play 002",2,2,8,1,2,-11,TY,TREY,GUN NEAR,,SLANTS,QCK,NKL OVER 1,P,0,1,,,I,,,,,,,,BULLETS,,,,,OVER,,,1,MF,,,,,,,NW,
3,"1612 IL DEF VS NU 11-26-16 SS IC_Clean, Play 003",3,3,8,1,3,-11,QD,QUADS,GUN NEAR,,DENVER -CD,DBP,NKL GREEN 2,P,5,1,,,C,,,,,,,,OVER RT,,,,,GREEN,,,2,Z2,,,,,,,NW,
4,"1612 IL DEF VS NU 11-26-16 SS IC_Clean, Play 004",4,1,10,2,1,-41,TY,TRIPS,GUN NEAR,OPTION BOUNCE WK,,FLOW,NKL OVER 2,R,1,1,,H,,,,,,,,WIPE O,,,,,,OVER,,,2,Z2,,,,,,,NW,
5,"1612 IL DEF VS NU 11-26-16 SS IC_Clean, Play 005",5,2,9,2,2,-42,TY,TRIPLES,GUN FAR,OPTION BOUNCE STR,,FLOOD,NKL OVER 1,R,1,1,,H,,,,,,,,TUG C,,,,,,OVER,,,1,MF,,,,,,,NW,
6,"1612 IL DEF VS NU 11-26-16 SS IC_Clean, Play 006",6,3,8,2,3,-43,QD,TRIPS,GUN NEAR,,CHARGER,DBP,NKL GREEN 2,P,,1,,,,,,,,,,,W-DIG,,,,,GREEN,,,2,Z2,,,,OD,,,NW,
7,"1612 IL DEF VS NU 11-26-16 SS IC_Clean, Play 007",7,3,3,2,4,-48,TY,TITE STACK,GUN NEAR,,CROSSERS,DBP,NKL OVER 2,P,12,1,,,C,,,,Z-IG,,,,,,,,,OVER,,,2,Z2,NKL OVER PRESS 1,,,,,,NW,
8,"1612 IL DEF VS NU 11-26-16 SS IC_Clean, Play 008",8,1,10,2,5,40,QD,TRIPS BUNCH,GUN NEAR,,BUC BASE,DBP,NKL OVER 2,P,-8,1,,,S,,,,,WIDE BUNCH,,,,,,,,OVER,PIRATE,,2,Z2,NKL WHACK,,,,,,NW,
9,"1612 IL DEF VS NU 11-26-16 SS IC_Clean, Play 009",9,2,18,2,6,48,QD,QUADS,GUN NEAR,OPTION BOUNCE WK,,SPLIT,NKL OVER 2,R,9,1,,H,,,,,,,SHIFT,WIPE,,,,,,OVER,,,2,Z2,,,,,,,NW,
10,"1612 IL DEF VS NU 11-26-16 SS IC_Clean, Play 010",10,3,9,2,7,39,TY,TRIPS,GUN FAR,,DOUBLE DIG,DBP,NKL GREEN 2,P,14,1,,,C,,,,,Y-OFF,,,,,,,,GREEN,,,2,Z2,,,,,,,NW,
